姓名,手机,部门,基础薪资,出勤天数,加班时长,培训时长,绩效得分
员工_172,13847876684,研发部,8732.0,18,2.0,20.0,36.0
员工_173,13882931048,研发部,9121.0,18,8.7,24.0,41.6
员工_174,13839859174,销售部,7564.0,16,5.5,13.0,31.3
员工_175,13846102853,市场部,11083.0,20,22.3,20.0,35.7
员工_176,13856159303,销售部,7521.0,19,17.0,20.0,54.7
员工_177,13822195226,研发部,7330.0,22,4.2,24.0,33.9
员工_178,13857936136,HR部,7286.0,17,3.0,13.0,26.4
员工_179,13879062973,市场部,6777.0,15,4.8,27.0,36.9
员工_180,13824421668,销售部,7161.0,16,8.9,21.0,40.0
员工_181,13831200096,销售部,5849.0,18,3.1,21.0,34.0
员工_182,13893375337,销售部,7713.0,17,9.8,18.0,31.0
员工_183,13833234510,研发部,8086.0,17,5.3,23.0,43.7
员工_184,13861715898,研发部,4576.0,15,8.0,20.0,31.8
员工_185,13855968757,市场部,7847.0,22,5.7,26.0,44.6
员工_186,13810061087,研发部,8063.0,22,3.5,13.0,20.8
员工_187,13890705119,研发部,8772.0,20,29.7,21.0,48.7
员工_188,13876653416,研发部,9807.0,18,14.4,22.0,53.4
员工_189,13895382256,研发部,9277.0,22,1.5,19.0,37.6
员工_190,13820274621,市场部,7069.0,19,20.3,18.0,40.4
员工_191,13823022704,市场部,6895.0,22,6.7,18.0,29.6
员工_192,13826816569,销售部,8869.0,17,22.5,21.0,45.7
员工_193,13817654909,研发部,7179.0,15,16.1,11.0,29.4
员工_194,13847814054,销售部,6158.0,19,5.5,25.0,41.2
员工_195,13894302960,销售部,11561.0,20,0.2,18.0,27.9
员工_196,13825421040,研发部,7534.0,18,3.1,21.0,37.6
员工_197,13834210512,销售部,7060.0,20,7.8,22.0,31.9
员工_198,13882073914,研发部,4712.0,17,10.0,17.0,38.3
员工_199,13877922032,销售部,9277.0,19,3.0,19.0,29.7
员工_200,13843779713,销售部,6518.0,19,1.5,10.0,20.8
